,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
258,BEL,SELFEMP,MEN,PC_EMP,A,2004,17.153570000000002
259,BEL,SELFEMP,MEN,PC_EMP,A,2005,17.53043
260,BEL,SELFEMP,MEN,PC_EMP,A,2006,17.62904
261,BEL,SELFEMP,MEN,PC_EMP,A,2007,17.42747
262,BEL,SELFEMP,MEN,PC_EMP,A,2008,17.01362
263,BEL,SELFEMP,MEN,PC_EMP,A,2009,17.67981
264,BEL,SELFEMP,MEN,PC_EMP,A,2010,17.30834
265,BEL,SELFEMP,MEN,PC_EMP,A,2011,17.479029999999998
266,BEL,SELFEMP,MEN,PC_EMP,A,2012,17.56232
267,BEL,SELFEMP,MEN,PC_EMP,A,2013,18.78902
268,BEL,SELFEMP,MEN,PC_EMP,A,2014,17.86228
269,BEL,SELFEMP,MEN,PC_EMP,A,2015,18.748720000000002
270,BEL,SELFEMP,MEN,PC_EMP,A,2016,18.44728
271,BEL,SELFEMP,MEN,PC_EMP,A,2017,17.39893
272,BEL,SELFEMP,TOT,PC_EMP,A,1956,24.69755
273,BEL,SELFEMP,TOT,PC_EMP,A,1957,23.860979999999998
274,BEL,SELFEMP,TOT,PC_EMP,A,1958,24.0566
275,BEL,SELFEMP,TOT,PC_EMP,A,1959,23.75149
276,BEL,SELFEMP,TOT,PC_EMP,A,1960,26.167679999999997
277,BEL,SELFEMP,TOT,PC_EMP,A,1961,25.48118
278,BEL,SELFEMP,TOT,PC_EMP,A,1962,24.87267
279,BEL,SELFEMP,TOT,PC_EMP,A,1963,24.01685
280,BEL,SELFEMP,TOT,PC_EMP,A,1964,22.91493
281,BEL,SELFEMP,TOT,PC_EMP,A,1965,22.23143
282,BEL,SELFEMP,TOT,PC_EMP,A,1966,21.925720000000002
283,BEL,SELFEMP,TOT,PC_EMP,A,1967,21.973470000000002
284,BEL,SELFEMP,TOT,PC_EMP,A,1968,21.90871
285,BEL,SELFEMP,TOT,PC_EMP,A,1969,21.3413
286,BEL,SELFEMP,TOT,PC_EMP,A,1970,18.84018
287,BEL,SELFEMP,TOT,PC_EMP,A,1971,18.126720000000002
288,BEL,SELFEMP,TOT,PC_EMP,A,1972,17.6698
289,BEL,SELFEMP,TOT,PC_EMP,A,1973,17.2046
290,BEL,SELFEMP,TOT,PC_EMP,A,1974,16.71602
291,BEL,SELFEMP,TOT,PC_EMP,A,1975,16.762220000000003
292,BEL,SELFEMP,TOT,PC_EMP,A,1976,16.67124
293,BEL,SELFEMP,TOT,PC_EMP,A,1977,16.62531
294,BEL,SELFEMP,TOT,PC_EMP,A,1978,16.73098
295,BEL,SELFEMP,TOT,PC_EMP,A,1979,16.66667
296,BEL,SELFEMP,TOT,PC_EMP,A,1980,16.57096
297,BEL,SELFEMP,TOT,PC_EMP,A,1981,16.98745
298,BEL,SELFEMP,TOT,PC_EMP,A,1982,17.33107
299,BEL,SELFEMP,TOT,PC_EMP,A,1983,17.78983
300,BEL,SELFEMP,TOT,PC_EMP,A,1984,18.015439999999998
301,BEL,SELFEMP,TOT,PC_EMP,A,1985,18.02673
302,BEL,SELFEMP,TOT,PC_EMP,A,1986,18.10223
303,BEL,SELFEMP,TOT,PC_EMP,A,1987,18.18437
304,BEL,SELFEMP,TOT,PC_EMP,A,1988,18.14404
305,BEL,SELFEMP,TOT,PC_EMP,A,1989,18.14714
306,BEL,SELFEMP,TOT,PC_EMP,A,1990,18.11594
307,BEL,SELFEMP,TOT,PC_EMP,A,1991,18.31325
308,BEL,SELFEMP,TOT,PC_EMP,A,1992,18.422539999999998
309,BEL,SELFEMP,TOT,PC_EMP,A,1993,18.8967
310,BEL,SELFEMP,TOT,PC_EMP,A,1994,18.85001
311,BEL,SELFEMP,TOT,PC_EMP,A,1995,18.810229999999997
312,BEL,SELFEMP,TOT,PC_EMP,A,1996,18.82507
313,BEL,SELFEMP,TOT,PC_EMP,A,1997,18.603479999999998
314,BEL,SELFEMP,TOT,PC_EMP,A,1998,18.17657
315,BEL,SELFEMP,TOT,PC_EMP,A,1999,16.48303
316,BEL,SELFEMP,TOT,PC_EMP,A,2000,15.81127
317,BEL,SELFEMP,TOT,PC_EMP,A,2001,15.15241
318,BEL,SELFEMP,TOT,PC_EMP,A,2002,15.39378
319,BEL,SELFEMP,TOT,PC_EMP,A,2003,14.980189999999999
320,BEL,SELFEMP,TOT,PC_EMP,A,2004,14.93555
321,BEL,SELFEMP,TOT,PC_EMP,A,2005,15.229289999999999
322,BEL,SELFEMP,TOT,PC_EMP,A,2006,15.07455
323,BEL,SELFEMP,TOT,PC_EMP,A,2007,14.824979999999998
324,BEL,SELFEMP,TOT,PC_EMP,A,2008,14.22555
325,BEL,SELFEMP,TOT,PC_EMP,A,2009,14.79969
326,BEL,SELFEMP,TOT,PC_EMP,A,2010,14.36098
327,BEL,SELFEMP,TOT,PC_EMP,A,2011,14.301079999999999
328,BEL,SELFEMP,TOT,PC_EMP,A,2012,14.345479999999998
329,BEL,SELFEMP,TOT,PC_EMP,A,2013,15.079020000000002
330,BEL,SELFEMP,TOT,PC_EMP,A,2014,14.61302
331,BEL,SELFEMP,TOT,PC_EMP,A,2015,15.1781
332,BEL,SELFEMP,TOT,PC_EMP,A,2016,14.83583
333,BEL,SELFEMP,TOT,PC_EMP,A,2017,14.29295
334,BEL,SELFEMP,WOMEN,PC_EMP,A,1960,30.7474
335,BEL,SELFEMP,WOMEN,PC_EMP,A,1961,29.99072
336,BEL,SELFEMP,WOMEN,PC_EMP,A,1962,29.117379999999997
337,BEL,SELFEMP,WOMEN,PC_EMP,A,1963,28.00361
338,BEL,SELFEMP,WOMEN,PC_EMP,A,1964,26.660759999999996
339,BEL,SELFEMP,WOMEN,PC_EMP,A,1965,25.55261
340,BEL,SELFEMP,WOMEN,PC_EMP,A,1966,25.021720000000002
341,BEL,SELFEMP,WOMEN,PC_EMP,A,1967,24.93506
342,BEL,SELFEMP,WOMEN,PC_EMP,A,1968,24.65636
343,BEL,SELFEMP,WOMEN,PC_EMP,A,1969,23.85321
344,BEL,SELFEMP,WOMEN,PC_EMP,A,1970,20.99494
345,BEL,SELFEMP,WOMEN,PC_EMP,A,1971,20.06661
346,BEL,SELFEMP,WOMEN,PC_EMP,A,1972,19.439870000000003
347,BEL,SELFEMP,WOMEN,PC_EMP,A,1973,18.80065
348,BEL,SELFEMP,WOMEN,PC_EMP,A,1974,18.181820000000002
349,BEL,SELFEMP,WOMEN,PC_EMP,A,1975,18.276139999999998
350,BEL,SELFEMP,WOMEN,PC_EMP,A,1976,18.03671
351,BEL,SELFEMP,WOMEN,PC_EMP,A,1977,17.92829
352,BEL,SELFEMP,WOMEN,PC_EMP,A,1978,17.87402
353,BEL,SELFEMP,WOMEN,PC_EMP,A,1979,17.86543
354,BEL,SELFEMP,WOMEN,PC_EMP,A,1980,17.47126
355,BEL,SELFEMP,WOMEN,PC_EMP,A,1981,17.665129999999998
356,BEL,SELFEMP,WOMEN,PC_EMP,A,1982,17.9093
357,BEL,SELFEMP,WOMEN,PC_EMP,A,1983,18.17485
358,BEL,SELFEMP,WOMEN,PC_EMP,A,1984,18.223229999999997
359,BEL,SELFEMP,WOMEN,PC_EMP,A,1985,18.13433
360,BEL,SELFEMP,WOMEN,PC_EMP,A,1986,18.05556
361,BEL,SELFEMP,WOMEN,PC_EMP,A,1987,17.89549
362,BEL,SELFEMP,WOMEN,PC_EMP,A,1988,17.602220000000003
363,BEL,SELFEMP,WOMEN,PC_EMP,A,1989,17.63908
364,BEL,SELFEMP,WOMEN,PC_EMP,A,1990,17.5033
365,BEL,SELFEMP,WOMEN,PC_EMP,A,1991,17.67016
366,BEL,SELFEMP,WOMEN,PC_EMP,A,1992,17.71987
367,BEL,SELFEMP,WOMEN,PC_EMP,A,1993,18.10373
368,BEL,SELFEMP,WOMEN,PC_EMP,A,1994,17.71227
369,BEL,SELFEMP,WOMEN,PC_EMP,A,1995,17.61834
370,BEL,SELFEMP,WOMEN,PC_EMP,A,1996,17.35166
371,BEL,SELFEMP,WOMEN,PC_EMP,A,1997,16.90493
372,BEL,SELFEMP,WOMEN,PC_EMP,A,1998,16.24036
373,BEL,SELFEMP,WOMEN,PC_EMP,A,1999,14.687870000000002
374,BEL,SELFEMP,WOMEN,PC_EMP,A,2000,13.5253
375,BEL,SELFEMP,WOMEN,PC_EMP,A,2001,12.66221
376,BEL,SELFEMP,WOMEN,PC_EMP,A,2002,12.89237
377,BEL,SELFEMP,WOMEN,PC_EMP,A,2003,12.64668
378,BEL,SELFEMP,WOMEN,PC_EMP,A,2004,12.00975
379,BEL,SELFEMP,WOMEN,PC_EMP,A,2005,12.25961
380,BEL,SELFEMP,WOMEN,PC_EMP,A,2006,11.81152
381,BEL,SELFEMP,WOMEN,PC_EMP,A,2007,11.54228
382,BEL,SELFEMP,WOMEN,PC_EMP,A,2008,10.76731
383,BEL,SELFEMP,WOMEN,PC_EMP,A,2009,11.28492
384,BEL,SELFEMP,WOMEN,PC_EMP,A,2010,10.79311
385,BEL,SELFEMP,WOMEN,PC_EMP,A,2011,10.4794
386,BEL,SELFEMP,WOMEN,PC_EMP,A,2012,10.491660000000001
387,BEL,SELFEMP,WOMEN,PC_EMP,A,2013,10.706560000000001
388,BEL,SELFEMP,WOMEN,PC_EMP,A,2014,10.85985
389,BEL,SELFEMP,WOMEN,PC_EMP,A,2015,11.07819
