,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
210,POL,TRADEGOOD,IMP,MLN_USD,A,2013,198468.1
211,POL,TRADEGOOD,IMP,MLN_USD,A,2014,214796.4
212,POL,TRADEGOOD,IMP,MLN_USD,A,2015,188558.9
213,POL,TRADEGOOD,IMP,MLN_USD,A,2016,193033.3
214,POL,TRADEGOOD,IMP,MLN_USD,A,2017,223004.2
215,PRT,TRADEGOOD,EXP,MLN_USD,A,2013,61727.26
216,PRT,TRADEGOOD,EXP,MLN_USD,A,2014,62752.16
217,PRT,TRADEGOOD,EXP,MLN_USD,A,2015,54270.24
218,PRT,TRADEGOOD,EXP,MLN_USD,A,2016,54301.67
219,PRT,TRADEGOOD,EXP,MLN_USD,A,2017,60923.87
220,PRT,TRADEGOOD,IMP,MLN_USD,A,2013,72328.65
221,PRT,TRADEGOOD,IMP,MLN_USD,A,2014,75339.48
222,PRT,TRADEGOOD,IMP,MLN_USD,A,2015,64859.83
223,PRT,TRADEGOOD,IMP,MLN_USD,A,2016,64967.6
224,PRT,TRADEGOOD,IMP,MLN_USD,A,2017,74571.6
225,SVK,TRADEGOOD,EXP,MLN_USD,A,2013,82849.45
226,SVK,TRADEGOOD,EXP,MLN_USD,A,2014,83032.24
227,SVK,TRADEGOOD,EXP,MLN_USD,A,2015,71718.1
228,SVK,TRADEGOOD,EXP,MLN_USD,A,2016,74319.22
229,SVK,TRADEGOOD,EXP,MLN_USD,A,2017,80651.48
230,SVK,TRADEGOOD,IMP,MLN_USD,A,2013,78989.76
231,SVK,TRADEGOOD,IMP,MLN_USD,A,2014,79373.2
232,SVK,TRADEGOOD,IMP,MLN_USD,A,2015,70554.31
233,SVK,TRADEGOOD,IMP,MLN_USD,A,2016,72479.86
234,SVK,TRADEGOOD,IMP,MLN_USD,A,2017,79927.32
235,ESP,TRADEGOOD,EXP,MLN_USD,A,2013,312691.8
236,ESP,TRADEGOOD,EXP,MLN_USD,A,2014,317515.7
237,ESP,TRADEGOOD,EXP,MLN_USD,A,2015,277346.0
238,ESP,TRADEGOOD,EXP,MLN_USD,A,2016,280776.5
239,ESP,TRADEGOOD,EXP,MLN_USD,A,2017,313457.1
240,ESP,TRADEGOOD,IMP,MLN_USD,A,2013,331291.3
241,ESP,TRADEGOOD,IMP,MLN_USD,A,2014,346993.1
242,ESP,TRADEGOOD,IMP,MLN_USD,A,2015,302088.3
243,ESP,TRADEGOOD,IMP,MLN_USD,A,2016,300044.8
244,ESP,TRADEGOOD,IMP,MLN_USD,A,2017,338211.7
245,SWE,TRADEGOOD,EXP,MLN_USD,A,2013,178629.8
