GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
366767.86,120508.1,2.57,20.25,2,3,0,0,20
366767.86,120508.1,4.95,17.16,0,3,0,0,20
366767.86,130560.7,7.97,13.23,1,3,0,1,20
366767.86,130560.7,2.57,20.25,2,3,0,1,20
366767.86,130560.7,4.95,17.16,0,3,0,1,20
384930.38,134167.5,8.68,12.89,1,4,0,0,20
384930.38,134167.5,2.74,20.46,2,4,0,0,20
384930.38,134167.5,5.36,17.12,0,4,0,0,20
384930.38,144470.9,8.68,12.89,1,4,0,1,20
384930.38,144470.9,2.74,20.46,2,4,0,1,20
384930.38,144470.9,5.36,17.12,0,4,0,1,20
30496.02,128547.3,8.04,13.52,1,1,0,0,20
30496.02,128547.3,2.49,21.19,2,1,0,0,20
30496.02,128547.3,4.9,17.86,0,1,0,0,20
30496.02,137083.5,8.04,13.52,1,1,0,1,20
30496.02,137083.5,2.49,21.19,2,1,0,1,20
30496.02,137083.5,4.9,17.86,0,1,0,1,20
32265.05,135846.1,7.74,12.85,1,0,0,0,20
32265.05,135846.1,2.48,21.93,2,0,0,0,20
32265.05,135846.1,4.76,17.99,0,0,0,0,20
32265.05,146442.3,7.74,12.85,1,0,0,1,20
32265.05,146442.3,2.48,21.93,2,0,0,1,20
32265.05,146442.3,4.76,17.99,0,0,0,1,20
33478.62,120568.1,7.44,12.78,1,2,0,0,20
33478.62,120568.1,2.54,20.88,2,2,0,0,20
33478.62,120568.1,4.68,17.34,0,2,0,0,20
33478.62,128213.8,7.44,12.78,1,2,0,1,20
33478.62,128213.8,2.54,20.88,2,2,0,1,20
33478.62,128213.8,4.68,17.34,0,2,0,1,20
34714.43,120508.1,7.97,13.23,1,3,0,0,20
34714.43,120508.1,2.57,20.25,2,3,0,0,20
34714.43,120508.1,4.95,17.16,0,3,0,0,20
34714.43,130560.7,7.97,13.23,1,3,0,1,20
34714.43,130560.7,2.57,20.25,2,3,0,1,20
34714.43,130560.7,4.95,17.16,0,3,0,1,20
36350.1,134167.5,8.68,12.89,1,4,0,0,20
36350.1,134167.5,2.74,20.46,2,4,0,0,20
36350.1,134167.5,5.36,17.12,0,4,0,0,20
36350.1,144470.9,8.68,12.89,1,4,0,1,20
36350.1,144470.9,2.74,20.46,2,4,0,1,20
36350.1,144470.9,5.36,17.12,0,4,0,1,20
262368.12,101583.3,24.69,5.59,1,1,0,0,22
262368.12,101583.3,14.23,12.1,2,1,0,0,22
262368.12,116851.2,24.69,5.59,1,1,0,1,22
262368.12,116851.2,14.23,12.1,2,1,0,1,22
270330.61,103322.9,25.44,5.52,1,0,0,0,22
270330.61,103322.9,14.56,11.87,2,0,0,0,22
270330.61,103322.9,19.7,8.88,0,0,0,0,22
270330.61,119208.8,25.44,5.52,1,0,0,1,22
270330.61,119208.8,14.56,11.87,2,0,0,1,22
270330.61,119208.8,19.7,8.88,0,0,0,1,22
276642.61,87586.95,25.77,5.36,1,2,0,0,22
276642.61,87586.95,14.97,11.56,2,2,0,0,22
276642.61,87586.95,20.03,8.65,0,2,0,0,22
276642.61,103383.3,25.77,5.36,1,2,0,1,22
276642.61,103383.3,14.97,11.56,2,2,0,1,22
276642.61,103383.3,20.03,8.65,0,2,0,1,22
280838.7,86841.75,26.67,5.94,1,3,0,0,22
280838.7,86841.75,17.33,11.84,2,3,0,0,22
280838.7,86841.75,21.72,9.06,0,3,0,0,22
280838.7,104098.7,26.67,5.94,1,3,0,1,22
280838.7,104098.7,17.33,11.84,2,3,0,1,22
280838.7,104098.7,21.72,9.06,0,3,0,1,22
296974.89,94758.8,25.35,5.3,1,4,0,0,22
296974.89,94758.8,16.03,10.87,2,4,0,0,22
296974.89,94758.8,20.43,8.24,0,4,0,0,22
296974.89,113337.7,25.35,5.3,1,4,0,1,22
296974.89,113337.7,16.03,10.87,2,4,0,1,22
296974.89,113337.7,20.43,8.24,0,4,0,1,22
46742.94,101583.3,24.69,5.59,1,1,0,0,22
46742.94,101583.3,14.23,12.1,2,1,0,0,22
46742.94,116851.2,24.69,5.59,1,1,0,1,22
46742.94,116851.2,14.23,12.1,2,1,0,1,22
47905.48,103322.9,25.44,5.52,1,0,0,0,22
47905.48,103322.9,14.56,11.87,2,0,0,0,22
47905.48,103322.9,19.7,8.88,0,0,0,0,22
47905.48,119208.8,25.44,5.52,1,0,0,1,22
47905.48,119208.8,14.56,11.87,2,0,0,1,22
