HDI Rank (2015),Country,2000_gni,,2005_gni,,2010_gni,,2011_gni,,2012_gni,,2013_gni,,2014_gni,,2015_gni
179, Sierra Leone,1147,,1357,,1546,,1608,,1811,,2137, a,2190,,1708
5, Singapore,70744,,73686,,94302,,89762,,89980,,92641, a,95219,,95979
40, Slovakia,19174,,23954,,31082,,31093,,32017,,32368, a,32796,,33773
25, Slovenia,28041,,29801,,30896,,31245,,30382,,30111, a,31087,,31730
156, Solomon Islands,1730,,1612,,1781,,1969,,2017,,2032, a,2021,,2045
0, Somalia,419,,426,,416,,417,,417,,418, a,418,,418
119, South Africa,12590,,14098,,15210,,15409,,15292,,15557, a,15529,,15487
27, Spain,41733,,43048,,40570,,40137,,39712,,39369, a,39968,,41505
73, Sri Lanka,7667,,9129,,12538,,13520,,14527,,14807, a,15265,,15867
165, Sudan,3222,,3746,,4513,,5022,,5527,,5559, a,5641,,5775
97, Suriname,13221,,16940,,19343,,19218,,20036,,20728, a,21196,,21512
148, Swaziland,9177,,10270,,9540,,9647,,9772,,9909, a,10007,,10020
14, Sweden,41805,,46953,,49568,,50485,,49970,,50006, a,50576,,52182
2, Switzerland,67095,,69429,,70781,,67647,,65747,,65837, a,65438,,66105
149, Syrian Arab Republic,7747,,8856,,10249,,9698,,7711,,5980, a,4769,,4007
129, Tajikistan,1422,,2050,,2511,,2651,,2775,,2911, a,3032,,3088
151, Tanzania (United Republic of),1731,,2110,,2351,,2464,,2309,,2417, a,2501,,2576
87, Thailand,11138,,13451,,14628,,15032,,15676,,15637, a,15748,,16144
82, The former Yugoslav Republic of Macedonia,11588,,12433,,14208,,14445,,14278,,14617, a,15338,,15790
133, Timor-Leste,3287,,3343,,8534,,10625,,10719,,8992, a,7437,,7549
166, Togo,1472,,1331,,1190,,1194,,1247,,1296, a,1377,,1412
101, Tonga,6216,,6644,,6384,,6484,,6494,,6296, a,6402,,6602
65, Trinidad and Tobago,22239,,31394,,35542,,32648,,32329,,34695, a,34791,,35179
97, Tunisia,11791,,13377,,15701,,15142,,15622,,15800, a,15993,,15967
71, Turkey,18953,,24263,,23907,,25570,,25671,,26765, a,26469,,27034
111, Turkmenistan,6472,,7953,,12124,,13754,,15091,,16423, a,17919,,18856
163, Uganda,1371,,1725,,2176,,2013,,2025,,2040, a,2050,,2075
84, Ukraine,5997,,9231,,9533,,10110,,10068,,10107, a,10041,,9181
42, United Arab Emirates,145692,,121996,,68375,,68697,,71863,,74666, a,78102,,80421
16, United Kingdom,42169,,46567,,48512,,49045,,48397,,48650, a,49206,,49885
10, United States,57405,,61894,,60717,,61324,,62113,,62567, a,63583,,64406
54, Uruguay,16943,,16431,,20779,,21816,,22570,,23425, a,23984,,24014
105, Uzbekistan,3247,,4067,,5726,,6105,,6442,,6953, a,7351,,7668
134, Vanuatu,3159,,3021,,3490,,3483,,3342,,3539, a,3560,,3453
71, Venezuela (Bolivarian Republic of),19823,,18501,,20328,,20744,,21434,,21255, a,20095,,18707
115, Viet Nam,3080,,3791,,4825,,5024,,5175,,5357, a,5573,,5845
168, Yemen,5869,,6196,,6282,,5181,,5164,,5230, a,5057,,3530
139, Zambia,2393,,2773,,3594,,3782,,4066,,4081, a,4122,,4126
154, Zimbabwe,2893,,1851,,1482,,1593,,1728,,1769, a,1795,,1822
a: Because disaggregated income data are not available data are crudely estimated.<br /> See Definitions and Technical note 3 at http://hdr.<br />undp.<br />org/sites/default/files/hdr2016_technical.<br />,,,,,,,,,,,,,,,,
