LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
MEX,TRADEGOOD,IMP,MLN_USD,A,2017,420764.5,
NLD,TRADEGOOD,EXP,MLN_USD,A,2013,567358.8,
NLD,TRADEGOOD,EXP,MLN_USD,A,2014,570064.7,
NLD,TRADEGOOD,EXP,MLN_USD,A,2015,464109.2,
NLD,TRADEGOOD,EXP,MLN_USD,A,2016,465452.4,
NLD,TRADEGOOD,EXP,MLN_USD,A,2017,520958.5,
NLD,TRADEGOOD,IMP,MLN_USD,A,2013,467335.8,
NLD,TRADEGOOD,IMP,MLN_USD,A,2014,469337,
NLD,TRADEGOOD,IMP,MLN_USD,A,2015,391507.4,
NLD,TRADEGOOD,IMP,MLN_USD,A,2016,392793.6,
NLD,TRADEGOOD,IMP,MLN_USD,A,2017,441054.9,
NZL,TRADEGOOD,EXP,MLN_USD,A,2013,39695.13,
NZL,TRADEGOOD,EXP,MLN_USD,A,2014,41948.38,
NZL,TRADEGOOD,EXP,MLN_USD,A,2015,34420.23,
NZL,TRADEGOOD,EXP,MLN_USD,A,2016,33638.45,
NZL,TRADEGOOD,EXP,MLN_USD,A,2017,38192.77,
NZL,TRADEGOOD,IMP,MLN_USD,A,2013,38644.25,
NZL,TRADEGOOD,IMP,MLN_USD,A,2014,40984.78,
NZL,TRADEGOOD,IMP,MLN_USD,A,2015,35779.2,
NZL,TRADEGOOD,IMP,MLN_USD,A,2016,35532.13,
NZL,TRADEGOOD,IMP,MLN_USD,A,2017,39736.64,
NOR,TRADEGOOD,EXP,MLN_USD,A,2013,155218.4,
NOR,TRADEGOOD,EXP,MLN_USD,A,2014,143429.7,
NOR,TRADEGOOD,EXP,MLN_USD,A,2015,103627.5,
NOR,TRADEGOOD,EXP,MLN_USD,A,2016,88344.65,
NOR,TRADEGOOD,EXP,MLN_USD,A,2017,103282.9,
NOR,TRADEGOOD,IMP,MLN_USD,A,2013,91628.71,
NOR,TRADEGOOD,IMP,MLN_USD,A,2014,90744.4,
NOR,TRADEGOOD,IMP,MLN_USD,A,2015,76266.09,
NOR,TRADEGOOD,IMP,MLN_USD,A,2016,73079.46,
NOR,TRADEGOOD,IMP,MLN_USD,A,2017,94975.59,
POL,TRADEGOOD,EXP,MLN_USD,A,2013,198042.5,
POL,TRADEGOOD,EXP,MLN_USD,A,2014,210474,
POL,TRADEGOOD,EXP,MLN_USD,A,2015,191032.5,
POL,TRADEGOOD,EXP,MLN_USD,A,2016,196287.2,
POL,TRADEGOOD,EXP,MLN_USD,A,2017,223941.1,
POL,TRADEGOOD,IMP,MLN_USD,A,2013,198468.1,
POL,TRADEGOOD,IMP,MLN_USD,A,2014,214796.4,
POL,TRADEGOOD,IMP,MLN_USD,A,2015,188558.9,
POL,TRADEGOOD,IMP,MLN_USD,A,2016,193033.3,
POL,TRADEGOOD,IMP,MLN_USD,A,2017,223004.2,
PRT,TRADEGOOD,EXP,MLN_USD,A,2013,61727.26,
PRT,TRADEGOOD,EXP,MLN_USD,A,2014,62752.16,
PRT,TRADEGOOD,EXP,MLN_USD,A,2015,54270.24,
PRT,TRADEGOOD,EXP,MLN_USD,A,2016,54301.67,
PRT,TRADEGOOD,EXP,MLN_USD,A,2017,60923.87,
PRT,TRADEGOOD,IMP,MLN_USD,A,2013,72328.65,
PRT,TRADEGOOD,IMP,MLN_USD,A,2014,75339.48,
PRT,TRADEGOOD,IMP,MLN_USD,A,2015,64859.83,
PRT,TRADEGOOD,IMP,MLN_USD,A,2016,64967.6,
PRT,TRADEGOOD,IMP,MLN_USD,A,2017,74571.6,
SVK,TRADEGOOD,EXP,MLN_USD,A,2013,82849.45,
SVK,TRADEGOOD,EXP,MLN_USD,A,2014,83032.24,
SVK,TRADEGOOD,EXP,MLN_USD,A,2015,71718.1,
SVK,TRADEGOOD,EXP,MLN_USD,A,2016,74319.22,
SVK,TRADEGOOD,EXP,MLN_USD,A,2017,80651.48,
SVK,TRADEGOOD,IMP,MLN_USD,A,2013,78989.76,
SVK,TRADEGOOD,IMP,MLN_USD,A,2014,79373.2,
